frame,track_id,class,conf,cx,cy,D_pixels,T_seconds,speed_kmh,count_trucks_unique
517,392,truck,0.3781968653202057,167.72540283203125,205.43576049804688,28.1897951532332,0.6,4.553736140137671,44
535,474,truck,0.5803174376487732,91.73193359375,245.7315216064453,57.904028053700635,0.6,9.353727608674719,46
536,449,truck,0.37496793270111084,95.18084716796875,244.08804321289062,100.40494182932431,0.6,16.219259833967776,46
538,392,truck,0.3081005811691284,190.523681640625,190.89947509765625,27.038216000907287,0.6,4.367711815531178,46
552,449,truck,0.5628270506858826,128.98960876464844,222.6407470703125,40.03771720300903,0.6,6.4676312404860745,47
562,392,truck,0.4110840857028961,208.69639587402344,177.98883056640625,22.291977278307154,0.6,3.601011714188079,47
562,520,truck,0.9065588116645813,47.35524368286133,270.9725341796875,40.35100813389766,0.6,6.518239775475776,47
567,449,truck,0.26624396443367004,151.6718292236328,207.94309997558594,27.027836896154977,0.6,4.3660351909173425,47
577,520,truck,0.44313061237335205,66.61669921875,264.6472473144531,20.273453305629676,0.6,3.2749424570632555,47
580,392,truck,0.3792899250984192,222.8118896484375,172.6514892578125,15.090870584562046,0.6,2.4377560175061768,47
589,449,truck,0.31837090849876404,176.66281127929688,193.04910278320312,29.092617123485986,0.6,4.699576612255429,47
594,520,truck,0.5580626726150513,81.41866302490234,242.90579223632812,26.301882089782925,0.6,4.248765568349549,48
605,449,truck,0.2701686918735504,191.71795654296875,184.37649536132812,17.37445023579433,0.6,2.8066419611667768,49
609,520,truck,0.7535051107406616,106.77945709228516,216.31201171875,36.747776093956524,0.6,5.936179215177593,50
620,449,truck,0.3040507733821869,205.06475830078125,177.69027709960938,14.927914149324726,0.6,2.411432285660148,50
623,628,truck,0.6905493140220642,144.0137939453125,267.15997314453125,70.99111410063938,0.6,11.46779535471867,50
624,520,truck,0.6030012369155884,140.81048583984375,199.58282470703125,37.92066302914959,0.6,6.1256455662472415,50
639,628,truck,0.4912981390953064,180.94602966308594,233.81663513183594,49.75709061436621,0.6,8.037683868474542,51
641,520,truck,0.6390464901924133,166.9281463623047,187.119873046875,28.93885618784781,0.6,4.674738307267724,51
662,628,truck,0.37102600932121277,212.02865600585938,206.55606079101562,41.34330120693678,0.6,6.678533271889788,54
671,520,truck,0.7260298728942871,198.24139404296875,171.292724609375,35.08586704652245,0.6,5.6677169844382425,57
677,628,truck,0.2826954126358032,226.49176025390625,193.9625244140625,19.1775528661909,0.6,3.0979123860769917,58
678,724,truck,0.864108145236969,52.050479888916016,276.85467529296875,30.55070508277489,0.6,4.935113897986714,59
679,622,truck,0.5872176289558411,400.23626708984375,201.78375244140625,35.99196111145429,0.6,5.8140860256964615,59
686,520,truck,0.6083475947380066,209.90536499023438,166.42025756835938,12.64077347525595,0.6,2.041971099849038,60
693,724,truck,0.7785317301750183,69.68811798095703,267.4512939453125,19.98774267339197,0.6,3.228789201086395,60
695,622,truck,0.3862139582633972,465.5386657714844,267.85296630859375,92.89534391924603,0.6,15.006170940801283,61
701,520,truck,0.3485199809074402,217.31851196289062,163.16455078125,8.096565611098585,0.6,1.3079067525620791,62
708,724,truck,0.5672231912612915,81.4020004272461,244.20452880859375,26.031272274525286,0.6,4.205051675115623,62
716,520,truck,0.505535364151001,227.025146484375,157.86236572265625,11.06037597955341,0.6,1.7866761197740124,62
